時間,代碼,名稱,股價,最高,最低
2026-05-12 11:23:07,2300,非電指,20578.16,"20,759.57","20,530.05"
2026-05-12 11:23:10,2301,光寶科,238.5,246.0,230.0
2026-05-12 11:23:13,2302,麗正,23.65,23.65,23.65
2026-05-12 11:23:16,2303,聯電,103.5,104.5,94.3
2026-05-12 11:23:23,2305,全友,18.00,18.25,17.10
2026-05-12 11:23:34,2308,台達電,2205,"2,260","2,190"
